date,white,white_elo,black,black_elo,opening
2021.03.01,GutenFurz,1039,ivanvamvam,1059,"Bongcloud Attack"
2021.03.01,mapichar,1552,tbduru,1572,"Bongcloud Attack"
2021.03.01,NKoreaFanboy,612,RITHISH12082009,691,"Bongcloud Attack"
2021.03.01,PleaseSacrificeQueen,1086,topchancho,1090,"Bongcloud Attack"
2021.03.01,M3nthOr,1062,Mutahi,1148,"Bongcloud Attack"
2021.03.01,Friembly,1094,JSAC,1017,"Bongcloud Attack"
2021.03.01,JARCSCL,1635,Khoshnaw-80,1616,"Bongcloud Attack"
2021.03.01,Epicness314,1444,Repent_and_live,1926,"Bongcloud Attack"
2021.03.01,Epicness314,1442,kakafeniks,1644,"Bongcloud Attack"
2021.03.01,AdrianThe,896,Izzeddin01,958,"Bongcloud Attack"
2021.03.01,Dr_Sir_III,1316,Doyla,1293,"Bongcloud Attack"
2021.03.01,baerkinson,665,dermurrischeKerl,753,"Bongcloud Attack"
2021.03.01,Ikram_Shenpai,1643,PatakMatak,1642,"Bongcloud Attack"
2021.03.01,redhairedshank,844,Pankaj8851,859,"Bongcloud Attack"
2021.03.01,Vedika28,1478,Vedika_2021,1696,"Bongcloud Attack"
2021.03.01,Ikram_Shenpai,1620,kumarmuthu,1620,"Bongcloud Attack"
2021.03.01,alper1885,1446,demiraras,1632,"Bongcloud Attack"
2021.03.01,Havva-Nil-Tunca123,1393,elacennet1111,1600,"Bongcloud Attack"
2021.03.01,RaniKhan,1096,Hazama13,1091,"Bongcloud Attack"
2021.03.01,umami_clown,1379,Yasin-tr,1295,"Bongcloud Attack"
2021.03.01,RaniKhan,1099,Telwak,1135,"Bongcloud Attack"
2021.03.01,umami_clown,1367,majiddddd1356,1445,"Bongcloud Attack"
2021.03.01,FranciscoSoaresESC21,1006,antonioliveira,1097,"Bongcloud Attack"
2021.03.01,luckyme2024,1007,chesst1,965,"Bongcloud Attack"
2021.03.01,Danielmcloud,2159,zivansusulic,2247,"Bongcloud Attack"
2021.03.01,Houfaru,1510,theeone,1533,"Bongcloud Attack"
2021.03.01,Takiru825,1138,Kamolip006,1209,"Bongcloud Attack"
2021.03.01,Takiru825,1109,bonas,1083,"Bongcloud Attack"
2021.03.01,Takiru825,1101,vojathe,1097,"Bongcloud Attack"
2021.03.01,mrphil98,1694,M_Mosad,1667,"Bongcloud Attack"
2021.03.01,Pedro_Liu-250,1500,FelipeRD,1485,"Bongcloud Attack"
2021.03.01,Fenix-senpai,886,KiranRachha,877,"Bongcloud Attack"
2021.03.01,FarnooshTey,831,mahsa,1380,"Bongcloud Attack"
2021.03.01,ProHacker00,1521,EASON10,785,"Bongcloud Attack"
2021.03.01,dankeykang2020,1322,Craigyboy,1385,"Bongcloud Attack"
2021.03.01,mohansn,1243,Odracir331,1303,"Bongcloud Attack"
2021.03.01,Luap919,1610,ppramesh,1614,"Bongcloud Attack"
2021.03.01,dankeykang2020,1325,kemankess,1319,"Bongcloud Attack"
2021.03.01,SeriousRoberto,1991,adi_bv,2069,"Bongcloud Attack"
2021.03.01,konovalov-afanasii,1446,malaygoyal,1433,"Bongcloud Attack"
2021.03.01,baccyjoint,977,Denimmoneybrrr,1036,"Bongcloud Attack"
2021.03.01,mohamadtahaghorbani,1065,TillBrazil,976,"Bongcloud Attack"
2021.03.01,NotDrunkeinstein,1238,emreNovsky,1222,"Bongcloud Attack"
2021.03.01,redrex6,2008,waeljadla,1720,"Bongcloud Attack"
2021.03.01,Aaravshah15,1113,Freddieg,1430,"Bongcloud Attack"
2021.03.01,girev,1754,Vicktor0204,1707,"Bongcloud Attack"
2021.03.01,EraYSharP,1049,josagustin,2137,"Bongcloud Attack"
2021.03.01,PleaseSacrificeQueen,1157,johnnysaymon,1151,"Bongcloud Attack"
2021.03.01,xFearofdarkness,986,lukepudaite,969,"Bongcloud Attack"
2021.03.01,jpdmayo1986,1649,Casper_CSP,1547,"Bongcloud Attack"
2021.03.01,Csoreszburesz123,1761,Bircan86,1763,"Bongcloud Attack"
2021.03.01,kingpinn1,1437,ChrXL,1377,"Bongcloud Attack"
2021.03.01,vincenchips,1683,Manan-Ghelani,1669,"Bongcloud Attack"
2021.03.01,dianaz,1304,Vinosan,1316,"Bongcloud Attack"
2021.03.01,notastoic,842,belhamri99,725,"Bongcloud Attack"
2021.03.01,dianaz,1311,lyam1512,1369,"Bongcloud Attack"
2021.03.01,notastoic,839,frest1,716,"Bongcloud Attack"
2021.03.01,notastoic,845,nosdeeee,1315,"Bongcloud Attack"
2021.03.01,ke2ke2ke2,1304,Kyr_387,1338,"Bongcloud Attack"
2021.03.01,NKoreaFanboy,600,hamzou2,746,"Bongcloud Attack"
2021.03.01,notastoic,842,BradMcdanold,961,"Bongcloud Attack"
2021.03.01,omer999,1314,niffleur,1351,"Bongcloud Attack"
2021.03.01,Zile_Thee_MatrikS,1265,ChongQi,1271,"Bongcloud Attack"
2021.03.01,Lucalucam,1658,yeswthatwasasac,1654,"Bongcloud Attack"
2021.03.01,maialaatorranta,2033,brafos,1624,"Bongcloud Attack"
2021.03.01,coxno,2241,ln1973,2234,"Bongcloud Attack"
2021.03.01,AndyWalls,681,EmiEs123,970,"Bongcloud Attack"
2021.03.01,Mic1090,1560,MSM55555,1627,"Bongcloud Attack"
2021.03.02,ItzSW2,1051,Fer_Al_HG_1103,1092,"Bongcloud Attack"
2021.03.02,chummydoofus,959,Monbeau,983,"Bongcloud Attack"
2021.03.02,matten94,1244,EmpKetan,1246,"Bongcloud Attack"
2021.03.02,ItzSW2,1052,Chavulani,999,"Bongcloud Attack"
2021.03.02,JesusCB,1917,Raminjafari47,1907,"Bongcloud Attack"
2021.03.02,EsauSolis,1617,piratovk,1622,"Bongcloud Attack"
2021.03.02,Pieos,1109,Amogham,1246,"Bongcloud Attack"
2021.03.02,TreaT_sc2,1420,luigianedda,1373,"Bongcloud Attack"
2021.03.02,Elixs,1042,Laiswell,1392,"Bongcloud Attack"
2021.03.02,rakaadityakuncara,1606,generalsterlingprice,1635,"Bongcloud Attack"
2021.03.02,nurunurdil,1136,Denmasss,1193,"Bongcloud Attack"
2021.03.02,KrishnaKomalMitra,1487,bjakazi,1490,"Bongcloud Attack"
