date,white,white_elo,black,black_elo,e4e5,wke2,bke7,opening,moves
2021.03.01,mapichar,1552,tbduru,1572,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7
2021.03.01,NKoreaFanboy,612,RITHISH12082009,691,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7
2021.03.02,Aziemah,1500,sharifahdariah,1500,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 f4 Kf6 fxe5 Kxe5 Ke3 Ke6 Kf4 Ke7 d4 d5 exd5 Kd6 Ke4 f6 g4 Ke7 g5 fxg5 Kf3 Kf6 Ke4 Kg6 h4 gxh4 Nh3 Kf7 Nf2 g6 Rxh4 h6 Rxh6 Rxh6 Ke5 Kg7 Kf4 Ba3 bxa3 c6 dxc6 Qd7 cxd7 Bxd7 a4 Bxa4 c4 Ne7 Nc3 Bxd1 Nfxd1 Rh1 Be2 Nd5 Nxd5 Na6 Ba3 Rah8 Bf8 Kxf8 Kg5 R8h2 Kxg6 Ke8 Nf2 Rxf2 Bh5
2021.03.02,BalancedBeekeeper,1375,FactualCariboo,1005,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 d3 d6 c4 c5 b4 b6 b5 a6 a4 d5 exd5 Ra7 Qd2 Qxd5 cxd5 Rd7 Qe3 Rxd5 Qxe5 Rxe5 Kf3 Re1 Kg3 Rxf1 Na3 Rxg1 Rxg1 Bf5 Nb1 Bxd3 Nc3 Bxb5 Nxb5 axb5 axb5 Nd7 Ra3 Nb8 Re3 Kd8 Rd1 Kc7 Rc3 Nd7 Rc4 Bd6 Kg4 Bxh2 Rh1 Be5 Re1 Ba1 Ba3 Bd4 Rc2 Ba1 Rd1 Be5 Re1 Bh2 g3 Bxg3 Kxg3 h5 Re4 g5 Rec4 h4 Kg4 h3 f3 h2 Rxh2 Rxh2 Kxg5 Rg2 Kf4 Rf2 Rb4 Rc2 Ra4 Ra2 Ra7 Kd6 Rb7 Kd5 Bb4 cxb4 Rxd7 Kc4 Kg4 b3 Rxf7 b2 Kg3 Kxb5 f4 b1=Q f5 Qg1 Kh3 Qh1 Kg3 Qf1 Kh4 Qd1 Kg5 Qg1 Kh5 Qf1 Rh7 Qxf5 Kh4 Qxh7 Kg3 Qh1 Kg4 Qg1 Kf5 Rd2 Ke6 Rd8 Kf7 Nh6 Ke7 Rd5 Kf6 Qg4 Ke7 Rf5 Ke6 Rh5 Kf6 Ng8 Kf7 Nh6 Kf8 Qf4 Kg7 Nf5 Kg6 Qg4 Kf6 Ne3 Ke7 Qf5 Kd6 Nc4 Kc7 Nd6 Kxd6 Qd3 Ke6 Rh6 Ke5 Rh5 Ke6 Kc6 Kf6 Rh3 Ke5 Qf1 Kd4 Qd1 Kc4 Qc1 Kb4 Qb1 Ka4 Qa1 Kb4 Qb1 Kc4 Qc1 Kd4 Qd1 Ke4 Qe1 Kf5 Rh5 Kf4 Qf1 Kg3 Rh1 Kg4 Qg1 Kf4 Qf1 Ke4 Qe1 Kd4 Qd1 Ke5 Rf1 Ke6 Qe1
2021.03.02,Slavisaaa,1899,Bodegon02,1556,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Ke3 Kd6 d4 exd4 Qxd4 Ke7 Qe5
2021.03.02,yasadaddy,783,lg4492,1053,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Kd3 d5 Kc3 dxe4 d3 Ke6 dxe4 Qxd1 Bd3 Qxc1 Ne2 Qxh1 Kc4 Qxh2 Kb5 Qxg2 Nf4 Kd6 Nxg2 Nc6 Ne3 a6 Ka4 Kd7 Bc4 b5 Bxb5 axb5 Kb3 Ke7 Nc4 Kd8 Nxe5 Be6 Kc3 Nxe5 Kd4 Ra4 Kxe5 f6 Kxe6 Nh6 Nc3 Kc8 Rd1 Kb7 Kd7 Bb4 Nxa4 bxa4 Rd5 Nf7 Rb5 Ka6 Rxb4 Ne5 Kxc7 h5 c4 Ka7 c5 h4 c6 h3 Rc4 h2 Rc1 h1=Q Rxh1 Rxh1 b4 g5 Kc8 Rh8 Kc7 Ka8 b5 Rc8 Kxc8 Ka7 Kc7 Nxc6 Kxc6 g4 b6 Ka6 b7 Ka7 Kc7 g3 b8=Q Ka6 Qa8 Kb5 Qf8 gxf2 Qf7 f1=Q Qc4 Kxc4 e5 Kd5 e6 Kxe6 Kd8 f5 Ke8 f4 Kd8 Qg1 Kc7 f3 Kc6 f2 Kb6 f1=Q Ka5 Kd5 Kxa4 Kc4 a3 Qd1 Ka5 Qg5 Kb6 Qb1 Ka7 Kb5 Kb8 Qe5 Kb7 Qc1 a4 Kxa4 Ka8 Ka5 Ka7 Qec5 Kb7 Qb6 Ka8 Qc8
2021.03.02,lg4492,1101,Danny_Crognale,1969,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Ke3 Nf6 f4 exf4 Kxf4 g6 g4 Bg7 h4 Re8 d4 Kf8 Qe2 Nd5 exd5 Rxe2 Bxe2 Qf6 Ke4 Qxd4 Kf3 d6 c3 Qf6 Bf4 Nd7 Kg3 Ne5 Bg5 Qxg5 hxg5 Bd7 Na3 Re8 Rxh7 Kg8 Rh1 c5 Nb5 Bxb5 Bxb5 b6 Bxe8
2021.03.02,lg4492,1275,BlackCat700,2224,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Ke3 Ke8 f4 d6 d4 f6 Nc3 exd4 Kxd4 Nc6 Kc4 Kf7 Nd5 Nge7 g4 b5 Kxb5 Bd7 g5 a5 gxf6 Ne5
2021.03.03,C71308590YHON,1416,B61196970DIOMAR,1583,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Ke3 Ke6 Kd3 Kd6 Kc4 Kc6 g3 b5 Kc3 Kc5 f4 a5 a3 b4 axb4 axb4 Kb3 Qe7 d4 exd4 c3 Qe6 Kc2 Rxa1 cxd4 Kb6 Qd3 b3 Kc3 Ba6 Qf3 Bxf1 Qxf1 Rxb1 Be3 Nc6 d5 Nd4 dxe6 Rxf1 Bxd4 Kc6 Kxb3 dxe6 e5 Bc5 Kc4 Bxd4 Kxd4 Ne7 b4 Rxg1 Rxg1 Rd8 Ke4 Nf5 Rc1 Kb7 Kf3 Kb6 b5 c5 Rb1 c4 g4 c3 gxf5 exf5 h4 c2 Rc1 Rd2 Ke3 Rg2 Kd3 g5 hxg5 Rf2 Rxc2 Rxc2 Kxc2 Kxb5 Kd3 Kc5 Ke3 Kd5 Kf3 Kd4 Kg3 Ke4 Kh4 Kxf4 Kh5 Kxe5 Kh6 f4 Kxh7 f3 Kg7 f5 Kf7 f4 g6 f2 g7 f1=Q g8=Q f3 Ke7 f2 Qe6 Kf4 Qf7 Kg3 Qb3 Kg2 Qg8 Kh1 Qd5 Kg1 Qg8 Kh2 Qb8 Kg2 Qg8 Kf3 Qb3 Kg2 Qg8
2021.03.03,Gustalfil,1381,Passah,1353,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Kd3 Kd6 Nf3 Kc5 Nc3 Qf6 Ke2 Nc6 d3 Kd6 Be3 Nh6 g3 Ke7 Nd5 Ke6 Nxf6 Kxf6 Bg5 Kg6 h4 f6 h5 Kf7 Bxh6 gxh6 Bh3 d6 Bxc8 Rxc8 c4 a6 Qb3 b6 c5 Ke7 cxd6 Kxd6 d4 exd4 Rad1 Na5 Qd5 Ke7 Rxd4 Nc6 Qxc6 Bg7 Rd7 Ke8 Rhd1 Kf8 Rd8 Rxd8 Rxd8 Kf7 Rxh8 Bxh8 Qxc7 Kg8 Qxb6 Bg7 Qxa6 Bf8 Qxf6 Bg7 Qd8 Bf8 Ne5 Kg7 Qd7 Kg8 Qf7 Kh8 Ng6 hxg6 hxg6 h5 Qh7
2021.03.04,oliversetiono123,1242,Gustalfil,1321,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 f4 Kf6 Qe1 Kg6 Kd1 Nc6
2021.03.04,hilfigertout,1135,kasfex,1118,1,1,1,Bongcloud Attack,e4 e5 Ke2 Ke7 Qe1 Qe8 Kd1 Kd8 Nc3 Nc6 Nf3 d6 Nd5 Qe6 d3 b5 Ng5 a6 Nxe6 fxe6 Nb4 d5 Nxc6 Ke8 Nxe5 Nf6 a4 dxe4 axb5 axb5 Rxa8 Kd8 Nc6 Kd7 Nb4 Ng4 dxe4 Bxb4 Qe2 Rd8 Qxg4 Kc6 Ke2 e5 Qxg7 Bd2 Bxd2 Bb7 Rxd8 b4 Qd7 Kb6 Bxb4 Ba6 Ke3 Bxf1 Rb8 Ka7 Qxc7 Ka6 Qb6
