date,white,white_elo,black,black_elo,e4e5,wke2,bke7,opening,moves
2021.03.01,GutenFurz,1039,ivanvamvam,1059,1,1,0,"Bongcloud Attack","e4 e5 Ke2 f6 f3 Bb4 d3 Nc6 c3 Ba5 d4 exd4 cxd4 d5 exd5 Qxd5 Nc3 Qe6 Be3 b6 d5 Ba6 Kf2 Qe5 dxc6 Rd8 Qc2 Ne7 Bxa6 O-O Bc4 Kh8 Qe4 Qxe4 Nxe4 Nf5 g4 Nxe3 Kxe3 a6 Ne2 b5 Be6 Rfe8 Nc5 Bb6 b4 a5 Rad1 axb4 Rxd8 Bxc5 Rd4 Rxe6 Kd3 Bxd4 Nxd4 Rd6 Re1 b3 axb3 b4 Re7 Kg8 Rxc7 Kf8 Rc8 Ke7 Kc4 g6 Nf5 gxf5 gxf5 Rd2 Rc7 Kd8 Rxh7 Kc8 Rh6 Rd6 Kc5 Kc7 Kxb4 Rxc6 Rg6 Rb6 Kc4 Rc6 Kd4 Kb6 h4 Rd6 Ke4 Kc5 h5 Rd5 h6 Re5 Kf4 Kd5 h7 Re4 Kg3 Re8 Rg8 Rxg8 hxg8=Q Ke5 Qb8 Kxf5 Qb5 Kg6 Qd3 f5 Qd6 Kg5 Qf4 Kf6 Qd4 Kg5 f4 Kg6 Qd6 Kh5 Qe5 Kg6 Qe6 Kg7"
2021.03.01,mapichar,1552,tbduru,1572,1,1,1,"Bongcloud Attack","e4 e5 Ke2 Ke7"
2021.03.01,NKoreaFanboy,612,RITHISH12082009,691,1,1,1,"Bongcloud Attack","e4 e5 Ke2 Ke7"
2021.03.01,PleaseSacrificeQueen,1086,topchancho,1090,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Bc5 Nc3 d6 Nf3 Be6 g3 Nf6 Bg2 d5 d3 dxe4 dxe4 Bc4 Ke1 Qe7 b3 Ba6 Bd2 Kf8 Bg5 g6 Bxf6 Qxf6 Nd5 Qc6 Nxe5 Qe8 f4 Nc6 Nxc7 Qe7 Nxa8 Nxe5 fxe5 Qxe5 Qd8 Kg7 Nc7 Qxa1 Kd2 Rxd8"
2021.03.01,M3nthOr,1062,Mutahi,1148,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Qe7 f3 Nc6 Nc3 b6 d3 Bb7 b3 O-O-O Bb2 g6 Nd5 Qd6 c4 Bg7 g4 Nf6 Bh3 Nxd5 exd5 Na5 d4 exd4 Bxd4 Rde8 Kf2 c5 Bxg7 Rhg8 Bc3 f5 Ne2 fxg4 Bxg4 h5 Bh3 g5 Qd3 g4 fxg4 hxg4 Bg2 Ref8 Kg1 Rh8 Bxh8 Rxh8 h3 gxh3 Rxh3 Rg8 Qh7 Re8 Qh5 Rf8 Rf1 Rd8 Qf5 Kc7 Rhf3 Bc8 Nf4 Qh6 Ng6 d6 Nf8 Bxf5 Rxf5 Qe3 R1f2 Qc1 Rf1 Qe3 R1f2"
2021.03.01,Friembly,1094,JSAC,1017,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nc3 d6 f3 Nf6 d3 Be6 Be3 Be7 Qd2 O-O Re1 Re8 Kd1 h6 Nd5 Nxd5 exd5 Bxd5 f4 exf4 Bxf4 Bf6 b3 Ne5 Bxe5 dxe5 g4 Bxh1 h4 Bf3 Be2 Bxe2 Rxe2 Bxh4 Nh3 e4 Nf4 e3 Rxe3 Rxe3 Qxe3 Bg5 c4 Bxf4 Qxf4 Qxd3 Ke1 Re8 Kf2 Qc2 Kg3 Qxa2 Kh4 Qxb3 Kh5 Qxc4 Qxc4 Re5 Kh4 g5 Kh5 Kg7 Qxc7 Rb5 Qc3 f6 Qc7 Kf8 Qd8 Kg7 Qd7 Kf8 Qxb5 a6 Qxb7 Ke8 Qxa6"
2021.03.01,JARCSCL,1635,Khoshnaw-80,1616,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Bc5 Qe1 d5 Kd1 d4 Bb5 c6 Ba4 b5 Bb3 Be6 a4 Bxb3 cxb3 Na6 d3 Nb4 Nf3 Nxd3 Qd2 Nf4 Rg1 Qd7 Nxe5 Qe7 Qxf4 Nf6 Nxc6 Qd6 axb5 O-O Qxd6 Bxd6 Bg5 Nxe4 Nxd4 Nxf2 Kc2 Rac8 Nc3 Ne4 Be3 Bxh2 Rh1 Be5 Rae1 Nxc3 bxc3 Bg3 Ref1 Rfe8 Bf4 Bxf4 Rxf4 Rb8 Nc6 Rxb5 Rd1 a6 Rd7 Rg5 Rfxf7 Rxg2 Kd3 h5 Ne7 Rxe7 Rdxe7 h4 Rxg7 Rxg7 Re3 Rg3 Rxg3 hxg3 Ke2 Kf7 Kf3 g2 Kxg2 Ke6 Kf2 Kd5 Ke2 Ke4 Kd2 a5 Kc2 Ke3 b4 axb4 cxb4 Kd4 Kb3 Kd5 Ka4 Kc6 Ka5 Kb7 b5 Ka7 b6 Kb7 Kb5 Ka8 Ka6 Kb8 b7 Kc7 Ka7"
2021.03.01,Epicness314,1444,Repent_and_live,1926,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d6 f3 f5 Kf2 fxe4 fxe4 Nf6 d4 Nxe4 Ke1 Qh4 g3 Nxg3 hxg3 Qxh1 Qf3"
2021.03.01,Epicness314,1442,kakafeniks,1644,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 f3 d5 d3 dxe4 fxe4 Bg4 Nf3 Bc5 h3 Bxf3 gxf3 Nc6 c4 Nd4 Kf2 Nb3 Kg2 Nxa1 Nc3 O-O Bg5 h6 Bh4 g5 Bf2 Bxf2 Kxf2 Qd4 Ke2 Rad8 Nb5 Qxb2 Ke1 Nc2"
2021.03.01,AdrianThe,896,Izzeddin01,958,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 d3 Nc6 Kd2 Nd4 Qe1 d6 Kd1 Be7 Nf3 Bg4 h3 Bh5 g4 Bg6 Ng5 Nd7 h4 h6 h5 Bxe4 Qxe4 Bxg5 Bxg5 Qxg5 Qxb7 O-O Qxc7 Qxg4 Kd2 Qf4 Ke1 Nxc2 Kd1 Qxf2 Qxc2 Qf3 Be2 Qxh1 Kd2 Rac8 Qb3 Nc5 Nc3 Qxa1 Qd5 Qxb2 Ke3 Qxc3 Qxd6 Qc1 Kf2 Qh1 Qxe5 Qh4 Ke3 Qh3 Kf2 Rfe8 Qb2 Re3 Qd4 Ne6 Bg4 Qh2 Kxe3 Ng5 Bxc8 Qxh5 Qxa7 Qh3 Kd2 Ne4 Kc2 Nf2 Bxh3"
2021.03.01,Dr_Sir_III,1316,Doyla,1293,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 f3 d5 Kf2 Nf6 g3 dxe4 fxe4 Nxe4 Kf3 Ng5 Kg2 Qd5 Kf2 Qxh1 Bg2 Qxh2 Nh3 Nxh3 Kf3 Ng5"
2021.03.01,baerkinson,665,dermurrischeKerl,753,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d6 Ke3 Qg5 f4 Qf6 Qg4 Bf5 Qxf5 Qxf5 exf5 exf4 Ke4 d5 Ke5 f6 Ke6 Nc6 Bc4"
2021.03.01,Ikram_Shenpai,1643,PatakMatak,1642,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nc3 Nf6 d3 Nd4 Ke1 Bb4 Bd2 Qe7 a3 Bc5 Nge2 Ng4 h3 Nxe2 hxg4 Nxc3 Bxc3 Qf6 Qe2 d6 f3 O-O b4 Bd4 Bxd4 exd4 Qd2 b6 Kf2 c5 bxc5 bxc5 Be2 Be6 Rab1 a5 Rh5 g6 Rh6 Rfb8 Rbh1 Qg7 Rxh7 Qxh7 Rxh7 Kxh7 f4 Rb2 f5 gxf5 gxf5 Bd7 Kg3 Ra2 Qf4 Ra6 Qh4 Kg8 Qd8 Kg7 Qxd7 Rxc2 Bh5 Rb2 Qxf7 Kh8 Qf8 Kh7 Bg6"
2021.03.01,redhairedshank,844,Pankaj8851,859,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d5 exd5 Qxd5 Nc3 Qd4 Nf3 Qd7 Nxe5 f6 Nxd7 Bxd7 Ne4 Nc6 c3 a5 d4 Nh6 Qa4 Nf5 Qb5 Be7 Qxb7 Kf7 Qxc7 Be6 Qxc6 Rac8 Qb7 Rb8 Qc7 Bd5 f3 Rhc8 Qxa5 Bd8 Qxd5 Kf8 Bg5 Ne7 Qe6 fxg5 Nf6 Rc6 Qg8 Nxg8 Nxg8 Kxg8 Ke3 Rcb6 b3 Rc8 Rc1 Ra6 f4 h6 fxg5 hxg5 Bxa6 Ra8 Bb7 Rxa2 Bd5 Kf8 Rcf1 Ke7 Rf7 Kd6 Ke4 Rc2 Rhf1 Rxc3 R1f5 Rxb3 Rxg7 Rb2 Rf8 Be7 Rff7 Rxg2 Rxe7 Re2 Kf5 Rxe7 Rxe7 Kxe7 Kxg5 Kd6 h4 Kxd5 h5 Ke6 h6 Kf7 Kh5 Kg8 d5 Kh7 d6 Kg8 d7 Kf7 d8=Q"
2021.03.01,Vedika28,1478,Vedika_2021,1696,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Qf6"
2021.03.01,Ikram_Shenpai,1620,kumarmuthu,1620,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nf6 Nc3 Nc6 d3 Bc5 Bg5 d6 Bxf6 Qxf6 Nf3 Bg4 h3 Nd4 Kd2 Nxf3 gxf3 Bxf3 Nd5 Qg5 Kc3 Bxd1 Nxc7 Kd7 Nxa8 Bd4 Kb3 Rxa8 Rxd1 Qd8 c3 Qb6 Kc2 Bxf2 Be2 Rc8 Bg4 Ke7 Bxc8 Qc6 Bg4 Qa4 Kb1 b5 Rhf1 b4 Rxf2 bxc3 b3 Qc6 Rc2 g6 Rf1 h5 Be2 f5 Bd1 fxe4 dxe4 Qxe4 Rf2 d5 Ka1 d4 Bf3 Qe1"
2021.03.01,alper1885,1446,demiraras,1632,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Bc5 Ke1 Nf6 Nf3 Nxe4 Nxe5 Nxf2 Nxf7 Qe7 Be2 Qxf7 d3 Nxd1 Kxd1 d6 c3 Qf2 Kc2 Qxe2 Kb3 Be6 Ka4 Qc2 Ka5 Nc6 Kb5 a6"
2021.03.01,Havva-Nil-Tunca123,1393,elacennet1111,1600,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Qe7 Ke1 Qe6 d3 Qd6 d4 Qc6 dxe5 Qd6 exd6 cxd6 Qxd6 Kd8 Qd1 Ke7 Qe2 Ke6 Qe3 Kd6 Qd4 Ke6 Qd5 Ke7 e5 b5 Qxb5 Nc6 Qa5 Nxa5 Na3 Nb7 Nc4 Nd8 Nd2 Rb8 Nc4 Rb7 Na3 Rc7 Nb5 Rb7 Nxa7 Rxa7 e6 dxe6 Rb1 Rc7 c3 e5 c4 e4 c5 Rxc5 Bd2 Rc7 Bc3 e3 Bd4 exf2 Bxf2 Rc4 Bb6 Rc6 Ba5 Rc5 Bxd8 Kxd8 b4 Rb5 a4 Rb8 Rb3 Ra8 Ra3 Rb8 Rb3 Rb7 Ra3 Rc7 Rh3 Rd7 Rxh7 Re7 Kd1 Rd7 Kc1 Rc7 Kb1 Kd7 Ka1 Kd6 Ka2 Kd5 Ka3 Kd4 Ka2 Kc3 Ka3 Kd4 Kb2 Kd5 Kb3 Kd6 Ka3 Ke7 b5 Ke6 Kb3 Kf6 a5 Kg6 a6 Kxh7 Ka4 Kg6 Ka5 Kg5 Nf3 Kf6 Ng5 Kxg5 g4 Kf6 Be2 Ke7 Bd3 Kd6 Bc4 Kc5 Bb3 Kd4 Ba4 Kd5 Bb3 Kc5 Bc2 Kd5 Bd1 Kd4 Be2 Kc3 Bf3 Kd3 Be4 Ke3 Bf3 Kxf3"
2021.03.01,RaniKhan,1096,Hazama13,1091,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nf3 Nf6 d3 d6 c3 Bg4 Be3 g6 g3 Bg7 Bg2 O-O Re1 Qe7 Kf1 Bxf3 Bxf3 a6 Nd2 Bh6 Bxh6"
2021.03.01,umami_clown,1379,Yasin-tr,1295,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 d3 Nf6 Nd2 Bc5 c3 b5 h3 a6 g4 d6 g5 Nh5 Bg2 Qxg5 Bf3 Nf4 Kf1 Nxd3 h4 Qf4 Ne2 Qh6 Nb3 Nxf2 Qd5 Be3 Qxc6 Bd7 Qxa8 Ke7 Bxe3 Qxe3 Qxa6 Nxh1 Bxh1 Bh3 Ke1 Rd8 Qxb5 Kf6 Qd5 Bg4 Qd1 d5 Nc5 Bxe2"
2021.03.01,RaniKhan,1099,Telwak,1135,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nf3 Nf6 d3 Bc5 Be3 Bxe3 Kxe3 O-O Be2 Qe7 Kd2 Qb4 Nc3 Nd4 Rb1 Nxe2 Kxe2 b6 Re1 Bb7 Kf1 d5 exd5 Nxd5 Nxd5 Bxd5 Rxe5 Qd6 Rxd5 Qxd5 c4 Qd7 b4 c5 Ne5 Qd6 Qh5 g6 Qg5 f6"
2021.03.01,umami_clown,1367,majiddddd1356,1445,1,1,0,"Bongcloud Attack","e4 e5 Ke2 b6 d3 Bb7 Nd2 g6 c3 Bg7 a4 Nf6 a5 b5 Qb3 a6 c4 c6 Ngf3 O-O Nxe5 Nxe4 Nxe4 Bxe5 Bh6 Re8 Bg5 Bf6 h4 Bxg5 hxg5 Qxg5 cxb5 cxb5 f3 d5 Kd1 dxe4 Rg1 exf3 g3 Nc6 Qc2 Rad8 Qd2 Nd4 Qxg5 f2 Rh1 Re1 Kd2 Rde8 Kc3 Rxa1 Bg2 Bxg2 Rxa1 Nb3 Kxb3 Rc8 Qd2 Bd5 Ka3 b4 Ka4 Bc6 Kxb4 Rb8 Kc3 Bb5 Qxf2 Rc8 Kd2 Ba4 Qa7 Rc2"
2021.03.01,FranciscoSoaresESC21,1006,antonioliveira,1097,1,1,0,"Bongcloud Attack","e4 e5 Ke2 d6 f3 d5 d3 dxe4 fxe4 c5 Qd2 c4 dxc4 Be6 Kf3 Bxc4 Kg4 Bxf1 Kf5 Bxg2 Kxe5 Bxh1 Kf4 Bxe4 Kxe4 Qe7 Kf4 Qd8 Kf5 Qc8 Ke4 f5 Kf3 Bb4 Kf4 Bxd2 Ke5 Bxc1 Kd5 Bxb2 Kd6 Bxa1 Kd5 Bf6 Kd6 Bb2 Ne2 Bf6 Nf4 Be7 Ke5 Ba3 Kd5 Nd7 Ne6 Ndf6 Ke5 Ng4 Kxf5 Nxh2 Kg5 Nf1 Nf4 Nd2 Ng2 Nxb1 Ne3 Nc3 Nc4 Nxa2 Nxa3 Nb4 Nc4 Nxc2 Nd2 Nd4 Nc4 Nc6 Nd2 h5 Ne4 h4 Nf6 Kf7 Nxg8 Rxg8 Kxh4 b5"
2021.03.01,luckyme2024,1007,chesst1,965,1,1,0,"Bongcloud Attack","e4 e5 Ke2 Nc6 Nc3 d6 Ke3 Nf6 d3 g6 f3 Bh6 Ke2"
